sample_id,catalog_content,image_link,price
50343,"Item Name: Whey Protein Water Sports Drink by PWR LIFT | Orange Mango | Keto, Vitamin B, Electrolytes, Zero Sugar, 10g of Protein | Post-Workout Energy Beverage | 16.9oz (Pack of 12)
Bullet Point 1: REFRESHING FRUIT FLAVOR: PWR LIFT is a thirst-quenching drink, combining juicy, fruit-forward flavor, super-charged hydration, and no chalky aftertaste to power you after a workout.
Bullet Point 2: 10G PROTEIN: Our refreshing protein infused water includes 10G of clear Whey Protein Isolate to help hit high protein goals. With a convenient on the go format, drinking PWR LIFT is easier than bulky protein powers, bottle shakers, protein bars, protein snacks, and thick protein shakes.
Bullet Point 3: B-VITAMINS AND ELECTROLYTES: PWR LIFT’s B-vitamins support your body’s overall wellbeing and help increase energy levels, while hydrating electrolytes work to replenish and rehydrate what you may lose in your workout.
Bullet Point 4: ZERO SUGAR: At only 50 calories, PWR LIFT has ZERO sugar and no artificial flavors or sweeteners. For guilt-free refreshment, enjoy as an alternative to sugary sports drinks.
Bullet Point 5: KETO CERTIFIED: With only 1g of total carbs, PWR LIFT is Keto certified to help you achieve your fitness goals. PWR LIFT is also Gluten Free and Lactose Free.
Value: 202.8
Unit: Fl Oz
",https://m.media-amazon.com/images/I/71MtS2vF13L.jpg,3.085
108455,"Item Name: Todd Bosley's World Famous Tangy Carolina Barbecue Sauce (12 Pack)
Bullet Point 1: This Tangy Carolina Barbecue Sauce is a perfect meld of sweet and tangy!
Bullet Point 2: The same delicious barbecue sauce you might find in the Carolina's!
Bullet Point 3: One taste and you'll see why it's called ""World Famous""
Product Description: This Tangy Carolina Barbecue Sauce is a perfect meld of sweet and tangy! The same delicious barbecue sauce you might find in the Carolina's! One taste and you'll see why it's called ""World Famous""
Value: 12.0
Unit: Count
",https://m.media-amazon.com/images/I/81UXo5rTDtL.jpg,99.99
147261,"Item Name: Plum Apricot Oolong Tea (50 tea bags, ZIN: 535617) - 2 Pack
Bullet Point 1: Our Plum Apricot Oolong Tea is a luxurious flavored Oolong tea with Apricots, Pitted Prunes and Marigold that you can enjoy hot or cold! The Plum Apricot flavor and aroma is wonderful! - Ingredients: Oolong tea, Apricots, Pitted Prunes, Marigold and Natural Plum Apricot Flavor.
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 50 tea bags
Bullet Point 5: Oolong Tea Bags - Packed in a convenient upright pouch!
Product Description: Our Plum Apricot Oolong Tea is a luxurious flavored Oolong tea with Apricots, Pitted Prunes and Marigold that you can enjoy hot or cold! The Plum Apricot flavor and aroma is wonderful! - Ingredients: Oolong tea, Apricots, Pitted Prunes, Marigold and Natural Plum Apricot Flavor. - Hot tea brewing method: Bring freshly drawn cold water to a rolling boil. Place 1 teabag for each desired cup into the teapot. Pour the boiling water into the pot, cover and let steep for 2-4 minutes. Pour into your cup; add milk and natural sweeteners to taste. - Iced tea brewing method: (to make 1 liter/quart): Place 5 teabags into a teapot or heat resistant pitcher. Pour 1 1/4 cups of freshly boiled water over the teabags. Steep for 5 minutes. Quarter fill a serving pitcher with cold water. Pour the tea into the serving pitcher. Add ice and top-up with cold water. Garnish and sweeten to taste. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible standards of purity, potency, stability and freshness. All of our products are prepared with the highest elements of quality control, from raw materials through the entire manufacturing process, up to and including the moment that the bottles or bags are sealed for freshness and shipped out to you. Our highest possible standards are certified by independent laboratories and backed by our personal guarantee. - TerraVita exists to meet and ensure your family's health and wellness without the harmful effects of chemicals and health products. We strive to make all of our products affordable and reliable and are constantly searching the market to maintain our affordability and to look for new ways to
Value: 100.0
Unit: Count
",https://m.media-amazon.com/images/I/81gqJn8zOnL.jpg,38.54
50948,"Item Name: Scabiosa Cherry Vanilla, 360 Stems
Bullet Point 1: Stem Length (Approximation): 20 - 25 inches.
Bullet Point 2: Average Bloom Size: 1.5 to 2 inches in diameter
Bullet Point 3: Each stem features one focal bloom and may have additional shoots of smaller blooms
Bullet Point 4: Box includes detailed care instructions Cut and shipped directly from our farm upon order
Bullet Point 5: Note. Please allow for small discrepancies in the color hue due differences in monitor resolution and subtle climatic changes during growing season.
Value: 1.0
Unit: Count
",https://m.media-amazon.com/images/I/71efs9EYvUS.jpg,386.98
229126,"Item Name: 4Patriots 1-Year Survival Food Kit: Emergency Food Supply Designed to Last 25 Years, 2,752 Servings
Bullet Point 1: 2,752 EMERGENCY FOOD SERVINGS: 24 delicious survival food recipes like Grammy's Sweet Oatmeal and America's Finest Mac & Cheese. This freeze-dried food has about 7.6 servings a day. Your Emergency Food Supply has an average of 543,360 calories (~1,509 a day - you may want or need more). Perfect prepper supplies with a 25 year shelf life.
Bullet Point 2: “DISASTER-RESISTANT” EMERGENCY FOOD: Triple-layer Mylar premium packaging acts as a barrier to protect your survival food against things that harm your food: air, light & moisture. We use a high-tech, high-capacity oxygen absorber to suck OUT any excess air. So your emergency food supply can keep an amazing 25 year shelf life. (longer than MREs).
Bullet Point 3: PACKED IN USA, NO ADDED MSG: Your survival food is packed at a family-owned facility in Utah using the best ingredients from the US & around the world. The folks that make your emergency food are experts in their field; nutritionists, chefs, engineers, & quality control inspectors. Our facility is SQF certified & registered with the USDA and FDA.
Bullet Point 4: EASY TO PREPARE SURVIVAL MEALS: Your prepper food is easy to make & tastes better than MREs. Just add boiling water, simmer and serve. It takes about 15 minutes from start to finish. In an instant, you'll have tasty emergency food to get you through a crisis. With 24 unique survival meals, you get delicious variety in your emergency food supply.
Bullet Point 5: LONG-TERM PEACE OF MIND: With a 1-Year supply of survival food on hand, you’ll be better prepared to handle an emergency situation. From dangerous storms and blackouts to supply chain disruptions, this long-lasting food store could be a lifesaver in a crisis.
Bullet Point 6: DESIGNED WITH A 25 YEAR SHELF LIFE: Storage conditions impact 25 year shelf life of your prepper supplies. For best results, protect food from heat, air & moisture. Avoid temps above 75 F°. Keep emergency food sealed until ready to eat. Shelf life varies based on storage conditions.You may want or need more calories. See below for more info.
Bullet Point 7: +YOU MAY WANT OR NEED MORE CALORIES PER DAY especially if you’re pregnant, a child, elderly, or have health conditions. Your survival food kit is designed to provide energy & nutrients for 1 person in an emergency, not to be a complete caloric replacement during normal times. We recommend an emergency food supply for everyone in your family.
Bullet Point 8: *Ships in Mulitple Packages
Product Description: The 1-Year Survival Food Kit gives you 2,752 servings of delicious emergency food to add to your prepper supplies. This freeze-dried food is designed with a 25 year shelf life (longer than MREs). You get ""stick-to-your-ribs"" emergency food for breakfast, lunch, and dinner. Not to mention, mouthwatering desserts to stockpile in your survival food supply. Plus, real milk and energy drinks to wash it all down. Each 1-Year Survival Food Supply gives you: 2,752 servings – (7.6/day average) 543,360 total calories – (~1,509 per day)+ 24 delicious recipes you can prepare in minutes It's the perfect long-term emergency food supply for Americans. And a great stash for your prepper supplies. The secret is our incredible 25 year shelf life. Our freeze-dried food uses an advanced sealing process to give your prepper food an amazing 25 year shelf life. It’s why we recommend this survival food over MREs. And now, you get a 1 year supply of tasty survival food shipped straight to your door. +You may want or need more calories per day,+ especially if you’re pregnant, a child, elderly, or have other health conditions.
Value: 1.0
Unit: Count
",https://m.media-amazon.com/images/I/81WiVwz7KkL.jpg,2796.0
101065,"Item Name: Joy Confetti Painted Roses 50 cm - 100 Stems
Value: nan
Unit: None
",https://m.media-amazon.com/images/I/61OAupNcXkL.jpg,199.98
60377,"Item Name: Palm Beach Medicinal Herbs - Mullein Leaf Tea T-CUP™ Pods Single Cup Brew Pods Compatible with Keurig K-Cup Single-Serve Brewers (12 Count)
Bullet Point 1: Mullein Leaf Tea is now available in T-CUPS single brew pods for ease and convenience!
Bullet Point 2: T-CUPS by Palm Beach Herbal Tea Company are single brew pods, just like K-Cups, but instead of coffee, they contain your favorite herbal teas. Just pop a T-CUP in your Keurig machine or other favorite single-cup brewer to enjoy a quick, properly brewed, hot cup of herbal tea!
Bullet Point 3: Designed for those who love the advantages of the single-cup brew machine and just as delicious as our Mullein Leaf Tea in traditional teabags. Compatible with Keurig K-Cup Pod Single-Serve Coffee Makers.
Product Description: Mullein Leaf Tea is now available in T-CUPS single brew pods for ease and convenience! T-CUPS by Palm Beach Herbal Tea Company are single brew pods, just like K-Cup Pods, but instead of coffee, they contain your favorite herbal teas. Just pop a T-CUP in your Keurig or other favorite single-serve brewer to enjoy a quick, properly brewed, hot cup of herbal tea! Designed for those who love the advantages of the single-cup brew machine and just as delicious as our Mullein Leaf Tea in traditional teabags. Compatible with Keurig K-Cup Pod Single-Serve Coffee Makers. T-CUPS are 100% recyclable - simply peel the lid back to empty the contents into the trash or compost, then recycle the TCUP pod and lid. Palm Beach Herbals creates premium, hand-crafted artisan teas with all-natural ingredients to make every cup an enjoyable herbal experience. Our unique Pure Herbal Tea Series teas are unlike most other brands; we used single-ingredient therapeutic herbs to make great-tasting, healthy herbal teas with maximum benefits. CAUTION: Please seek the advice of a healthcare provider before using this or any other herbal product, especially if you are pregnant, breastfeeding, or have any health conditions. Some herbal products may affect certain medications. These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Palm Beach Herbal Tea Company and Palm Beach Medicinal Herbs are not affiliated with Keurig Inc. ""Keurig"" and ""K-Cup"" are registered trademarks of Keurig Inc.
Value: 12.0
Unit: Count
",https://m.media-amazon.com/images/I/71MxWozDxIL.jpg,14.95
236048,"Item Name: Organic Pistachios Shelled Raw, 30 Lbs. Bulk Case, Kosher
Bullet Point 1: USDA Organic Pistachios
Bullet Point 2: Kosher Parve (O-K)
Bullet Point 3: FSSC 22000 Certified Facility
Value: 480.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81eC194y1zL.jpg,921.5
43198,"Item Name: Martinelli's Sparkling Cider (6/25.4 oz)
Value: 6.0
Unit: Count
",https://m.media-amazon.com/images/I/51+yAM3hg8L.jpg,70.19
108309,"Item Name: Boost Very High Calorie Nutritional Drink Very Vanilla, Made with Natural Vanilla Flavor & No Artificial Flavors, Colors & Sweeteners, 8 FL OZ (Pack of 54)
Bullet Point 1: VERY HIGH CALORIE NUTRITIONAL DRINK: With 530 calories, 22 g protein, and 26 vitamins & minerals per 8 ounce serving, this drink is ideal for those with increased energy needs, diminished appetite or needing to gain weight.
Bullet Point 2: COMPLETE BALANCED NUTRITION: BOOST Very High Calorie is a calorically-dense balanced nutritional drink & can be used as a snack or mini meal for those with low appetites. Available in a tasty vanilla flavor.
Bullet Point 3: BOOST YOUR ENERGY: BOOST Nutritional drinks provide protein, vitamins, & calories to help boost energy. BOOST nutrition with complete nutritional drinks, like BOOST Very High Calorie & Kid Essentials.
Bullet Point 4: BOOST NUTRITIONAL DRINKS: BOOST Drinks have nutrition you need & taste you love. BOOST Drinks easily add nutrition to your diet, for weight loss recovery, high protein, or as a mini-meal replacement.
Bullet Point 5: BOOST FAMILY OF NUTRITIONAL SHAKES: Whether you want extra protein, less sugars, more calories, fewer calories, or simply great nutrition for everyday living, there’s a BOOST Nutritional Shake that fits your needs.
Product Description: Boost VHC - Very high calorie complete nutritional drink that provides 530 calories per 8 fl oz serving, 22 grams of protein, and 26 vitamins and minerals. The most calorically dense nutritionally complete oral beverage - 2.25 kcal/ml. Combines high calories with high protein to help preserve lean muscle mass and support weight goals. Best if served chilled. We recommend BOOST VHC drinks are chilled over ice for those that prefer a less thick drink.
Value: 432.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/7158cBYFM6L.jpg,147.19
